vp	vp	kod	nod	vud	mdflw	rbf	
2.540000e+00	2.785863e-01	2.732954e-02	1.000000e-09	8.813114e-02	2.085479e-01	1.218516e+00	
2.550000e+00	2.806653e-01	3.167850e-02	1.000000e-09	8.956573e-02	2.362523e-01	1.218516e+00	
2.560000e+00	2.827443e-01	3.599966e-02	1.000000e-09	9.099115e-02	2.636798e-01	1.218516e+00	
2.570000e+00	2.848233e-01	4.029242e-02	1.000000e-09	9.240720e-02	2.908344e-01	1.218516e+00	
2.580000e+00	2.869023e-01	4.455626e-02	1.000000e-09	9.381372e-02	3.177202e-01	1.218516e+00	
2.590000e+00	2.889813e-01	4.879077e-02	1.000000e-09	9.521055e-02	3.443412e-01	1.218516e+00	
2.600000e+00	2.910603e-01	5.299558e-02	1.000000e-09	9.659759e-02	3.707013e-01	1.218516e+00	
2.610000e+00	2.931393e-01	5.717043e-02	1.000000e-09	9.797475e-02	3.968043e-01	1.218516e+00	
2.620000e+00	2.952183e-01	6.131509e-02	1.000000e-09	9.934195e-02	4.226539e-01	1.218516e+00	
2.630000e+00	2.972973e-01	6.542942e-02	1.000000e-09	1.006991e-01	4.482537e-01	1.218516e+00	
2.640000e+00	2.993763e-01	6.951328e-02	1.000000e-09	1.020463e-01	4.736074e-01	1.218516e+00	
2.650000e+00	3.014553e-01	7.356662e-02	1.000000e-09	1.033834e-01	4.987185e-01	1.218516e+00	
2.660000e+00	3.035343e-01	7.758939e-02	1.000000e-09	1.047103e-01	5.235904e-01	1.218516e+00	
2.670000e+00	3.056133e-01	8.158161e-02	1.000000e-09	1.060273e-01	5.482266e-01	1.218516e+00	
2.680000e+00	3.076923e-01	8.554329e-02	1.000000e-09	1.073341e-01	5.726303e-01	1.218516e+00	
2.690000e+00	3.097713e-01	8.947451e-02	1.000000e-09	1.086309e-01	5.968049e-01	1.218516e+00	
2.700000e+00	3.118503e-01	9.337535e-02	1.000000e-09	1.099177e-01	6.207535e-01	1.218516e+00	
2.710000e+00	3.139293e-01	9.724590e-02	1.000000e-09	1.111944e-01	6.444794e-01	1.218516e+00	
2.720000e+00	3.160083e-01	1.010863e-01	1.000000e-09	1.124613e-01	6.679855e-01	1.218516e+00	
2.730000e+00	3.180873e-01	1.048967e-01	1.000000e-09	1.137182e-01	6.912749e-01	1.218516e+00	
2.740000e+00	3.201663e-01	1.086772e-01	1.000000e-09	1.149653e-01	7.143505e-01	1.218516e+00	
2.750000e+00	3.222453e-01	1.124280e-01	1.000000e-09	1.162026e-01	7.372154e-01	1.218516e+00	
2.760000e+00	3.243243e-01	1.161494e-01	1.000000e-09	1.174301e-01	7.598724e-01	1.218516e+00	
2.770000e+00	3.264033e-01	1.198413e-01	1.000000e-09	1.186480e-01	7.823243e-01	1.218516e+00	
2.780000e+00	3.284823e-01	1.235042e-01	1.000000e-09	1.198563e-01	8.045738e-01	1.218516e+00	
