anm	anm	kod	nod	vud	mdflw	rbf	
8.850000e-01	1.279762e-01	2.551341e-01	5.273465e-02	7.255147e-01	1.067060e+00	1.428598e+00	
8.860000e-01	1.294643e-01	2.590287e-01	5.449229e-02	7.472077e-01	1.089995e+00	1.427201e+00	
8.870000e-01	1.309524e-01	2.628955e-01	5.624552e-02	7.688362e-01	1.112875e+00	1.425808e+00	
8.880000e-01	1.324405e-01	2.667349e-01	5.799435e-02	7.904007e-01	1.135699e+00	1.424417e+00	
8.890000e-01	1.339286e-01	2.705474e-01	5.973880e-02	8.119014e-01	1.158468e+00	1.423029e+00	
8.900000e-01	1.354167e-01	2.743332e-01	6.147887e-02	8.333388e-01	1.181182e+00	1.421643e+00	
8.910000e-01	1.369048e-01	2.780928e-01	6.321458e-02	8.547131e-01	1.203842e+00	1.420261e+00	
8.920000e-01	1.383929e-01	2.818264e-01	6.494594e-02	8.760247e-01	1.226446e+00	1.418881e+00	
8.930000e-01	1.398810e-01	2.855345e-01	6.667297e-02	8.972739e-01	1.248996e+00	1.417503e+00	
8.940000e-01	1.413690e-01	2.892172e-01	6.839567e-02	9.184610e-01	1.271492e+00	1.416128e+00	
8.950000e-01	1.428571e-01	2.928749e-01	7.011405e-02	9.395862e-01	1.293933e+00	1.414756e+00	
8.960000e-01	1.443452e-01	2.965079e-01	7.182814e-02	9.606499e-01	1.316321e+00	1.413387e+00	
8.970000e-01	1.458333e-01	3.001164e-01	7.353793e-02	9.816524e-01	1.338654e+00	1.412020e+00	
8.980000e-01	1.473214e-01	3.037006e-01	7.524345e-02	1.002594e+00	1.360933e+00	1.410656e+00	
8.990000e-01	1.488095e-01	3.072609e-01	7.694471e-02	1.023475e+00	1.383159e+00	1.409295e+00	
9.000000e-01	1.502976e-01	3.107975e-01	7.864171e-02	1.044295e+00	1.405331e+00	1.407936e+00	
9.010000e-01	1.517857e-01	3.090320e-01	7.788874e-02	1.034948e+00	1.401655e+00	1.405488e+00	
9.020000e-01	1.532738e-01	3.072692e-01	7.713525e-02	1.025596e+00	1.397957e+00	1.403048e+00	
9.030000e-01	1.547619e-01	3.055089e-01	7.638123e-02	1.016241e+00	1.394237e+00	1.400616e+00	
