adhmk	adhmk	kod	nod	vud	mdflw	rbf	
3.870000e-01	1.038312e-01	1.642822e-01	2.202164e-02	6.526597e-01	9.983964e-01	1.218516e+00	
3.880000e-01	1.043865e-01	1.642768e-01	2.200125e-02	6.510982e-01	9.983964e-01	1.218516e+00	
3.890000e-01	1.049417e-01	1.642715e-01	2.198085e-02	6.495436e-01	9.983964e-01	1.218516e+00	
3.900000e-01	1.054969e-01	1.642662e-01	2.196046e-02	6.479957e-01	9.983964e-01	1.218516e+00	
3.910000e-01	1.060522e-01	1.642609e-01	2.194007e-02	6.464546e-01	9.983964e-01	1.218516e+00	
3.920000e-01	1.066074e-01	1.642555e-01	2.191968e-02	6.449202e-01	9.983964e-01	1.218516e+00	
3.930000e-01	1.071627e-01	1.642502e-01	2.189928e-02	6.433924e-01	9.983964e-01	1.218516e+00	
3.940000e-01	1.077179e-01	1.642449e-01	2.187889e-02	6.418713e-01	9.983964e-01	1.218516e+00	
3.950000e-01	1.082732e-01	1.642395e-01	2.185850e-02	6.403566e-01	9.983964e-01	1.218516e+00	
3.960000e-01	1.088284e-01	1.642342e-01	2.183810e-02	6.388484e-01	9.983964e-01	1.218516e+00	
3.970000e-01	1.093837e-01	1.642289e-01	2.181771e-02	6.373467e-01	9.983964e-01	1.218516e+00	
3.980000e-01	1.099389e-01	1.642235e-01	2.179732e-02	6.358514e-01	9.983964e-01	1.218516e+00	
3.990000e-01	1.104942e-01	1.642182e-01	2.177693e-02	6.343624e-01	9.983964e-01	1.218516e+00	
4.000000e-01	1.110494e-01	1.642128e-01	2.175653e-02	6.328797e-01	9.983964e-01	1.218516e+00	
4.010000e-01	1.116047e-01	1.642075e-01	2.173614e-02	6.314033e-01	9.983964e-01	1.218516e+00	
4.020000e-01	1.121599e-01	1.642021e-01	2.171575e-02	6.299330e-01	9.983964e-01	1.218516e+00	
4.030000e-01	1.127152e-01	1.641968e-01	2.169535e-02	6.284689e-01	9.983964e-01	1.218516e+00	
4.040000e-01	1.132704e-01	1.641914e-01	2.167496e-02	6.270110e-01	9.983964e-01	1.218516e+00	
4.050000e-01	1.138257e-01	1.641861e-01	2.165457e-02	6.255591e-01	9.983964e-01	1.218516e+00	
4.060000e-01	1.143809e-01	1.641807e-01	2.163418e-02	6.241132e-01	9.983964e-01	1.218516e+00	
4.070000e-01	1.149361e-01	1.641753e-01	2.161378e-02	6.226733e-01	9.983964e-01	1.218516e+00	
4.080000e-01	1.154914e-01	1.641700e-01	2.159339e-02	6.212393e-01	9.983964e-01	1.218516e+00	
4.090000e-01	1.160466e-01	1.641646e-01	2.157300e-02	6.198112e-01	9.983964e-01	1.218516e+00	
4.100000e-01	1.166019e-01	1.641592e-01	2.155260e-02	6.183889e-01	9.983964e-01	1.218516e+00	
4.110000e-01	1.171571e-01	1.641538e-01	2.153221e-02	6.169725e-01	9.983964e-01	1.218516e+00	
4.120000e-01	1.177124e-01	1.641485e-01	2.151182e-02	6.155618e-01	9.983964e-01	1.218516e+00	
4.130000e-01	1.182676e-01	1.641431e-01	2.149143e-02	6.141568e-01	9.983964e-01	1.218516e+00	
4.140000e-01	1.188229e-01	1.641377e-01	2.147103e-02	6.127575e-01	9.983964e-01	1.218516e+00	
4.150000e-01	1.193781e-01	1.641323e-01	2.145064e-02	6.113639e-01	9.983964e-01	1.218516e+00	
4.160000e-01	1.199334e-01	1.641269e-01	2.143025e-02	6.099758e-01	9.983964e-01	1.218516e+00	
4.170000e-01	1.204886e-01	1.641215e-01	2.140985e-02	6.085933e-01	9.983964e-01	1.218516e+00	
