anpx	anpx	kod	nod	vud	mdflw	rbf	
1.200000e-01	1.216069e-01	1.451137e-01	2.792351e-03	1.454068e-01	9.288544e-01	1.216071e+00	
1.300000e-01	1.226927e-01	1.464050e-01	3.376583e-03	1.496872e-01	9.350913e-01	1.216290e+00	
1.400000e-01	1.237785e-01	1.476864e-01	3.960984e-03	1.539654e-01	9.413300e-01	1.216509e+00	
1.500000e-01	1.248643e-01	1.489586e-01	4.545552e-03	1.582417e-01	9.475705e-01	1.216729e+00	
1.600000e-01	1.259501e-01	1.502225e-01	5.130289e-03	1.625163e-01	9.538127e-01	1.216948e+00	
1.700000e-01	1.270358e-01	1.514785e-01	5.715194e-03	1.667895e-01	9.600567e-01	1.217168e+00	
1.800000e-01	1.281216e-01	1.527275e-01	6.300267e-03	1.710615e-01	9.663025e-01	1.217387e+00	
1.900000e-01	1.292074e-01	1.545642e-01	6.885509e-03	1.755284e-01	9.725500e-01	1.217607e+00	
2.000000e-01	1.302932e-01	1.556688e-01	7.470920e-03	1.797550e-01	9.787994e-01	1.217826e+00	
2.100000e-01	1.313789e-01	1.567737e-01	8.056499e-03	1.839827e-01	9.850505e-01	1.218046e+00	
2.200000e-01	1.324647e-01	1.578790e-01	8.642247e-03	1.882117e-01	9.913034e-01	1.218266e+00	
2.300000e-01	1.335505e-01	1.589845e-01	9.228165e-03	1.924420e-01	9.975581e-01	1.218486e+00	
2.400000e-01	1.346363e-01	1.600904e-01	9.814251e-03	1.966734e-01	1.003815e+00	1.218706e+00	
2.500000e-01	1.357220e-01	1.611966e-01	1.040051e-02	2.029478e-01	1.010073e+00	1.218926e+00	
2.600000e-01	1.368078e-01	1.623031e-01	1.098693e-02	2.100783e-01	1.016333e+00	1.219146e+00	
2.700000e-01	1.378936e-01	1.639744e-01	1.157352e-02	2.175245e-01	1.022595e+00	1.219367e+00	
2.800000e-01	1.389794e-01	1.652531e-01	1.216029e-02	2.247545e-01	1.028858e+00	1.219587e+00	
