aum	aum	kod	nod	vud	mdflw	rbf	
9.500000e-02	4.747626e-02	6.824947e-01	2.907359e-01	3.607396e+00	3.867356e+00	1.393329e+00	
9.600000e-02	4.797601e-02	6.824947e-01	2.907359e-01	3.607396e+00	3.867356e+00	1.393329e+00	
9.700000e-02	4.847576e-02	6.824947e-01	2.907359e-01	3.607396e+00	3.867356e+00	1.393329e+00	
9.800000e-02	4.897551e-02	6.824947e-01	2.907359e-01	3.607396e+00	3.867356e+00	1.393329e+00	
9.900000e-02	4.947526e-02	6.824947e-01	2.907359e-01	3.607396e+00	3.867356e+00	1.393329e+00	
1.000000e-01	4.997501e-02	6.824947e-01	2.907359e-01	3.607396e+00	3.867356e+00	1.393329e+00	
1.010000e-01	5.047476e-02	6.824947e-01	2.907359e-01	3.607396e+00	3.867356e+00	1.393329e+00	
1.020000e-01	5.097451e-02	6.824947e-01	2.907359e-01	3.607396e+00	3.867356e+00	1.393329e+00	
1.030000e-01	5.147426e-02	6.824947e-01	2.907359e-01	3.607396e+00	3.867356e+00	1.393329e+00	
1.040000e-01	5.197401e-02	6.824947e-01	2.907359e-01	3.607396e+00	3.867356e+00	1.393329e+00	
1.050000e-01	5.247376e-02	6.824947e-01	2.907359e-01	3.607396e+00	3.867356e+00	1.393329e+00	
1.060000e-01	5.297351e-02	6.824947e-01	2.907359e-01	3.607396e+00	3.867356e+00	1.393329e+00	
1.070000e-01	5.347326e-02	6.824947e-01	2.907359e-01	3.607396e+00	3.867356e+00	1.393329e+00	
1.080000e-01	5.397301e-02	6.824947e-01	2.907359e-01	3.607396e+00	3.867356e+00	1.393329e+00	
1.090000e-01	5.447276e-02	6.824947e-01	2.907359e-01	3.607396e+00	3.867356e+00	1.393329e+00	
1.100000e-01	5.497251e-02	6.824947e-01	2.907359e-01	3.607396e+00	3.867356e+00	1.393329e+00	
1.110000e-01	5.547226e-02	6.824947e-01	2.907359e-01	3.607396e+00	3.867356e+00	1.393329e+00	
1.120000e-01	5.597201e-02	6.824947e-01	2.907359e-01	3.607396e+00	3.867356e+00	1.393329e+00	
1.130000e-01	5.647176e-02	6.824947e-01	2.907359e-01	3.607396e+00	3.867356e+00	1.393329e+00	
