cke	cke	kod	nod	vud	mdflw	rbf	
3.790000e+00	3.147410e-01	7.287711e-02	9.306690e-03	1.645558e-01	9.983964e-01	1.218516e+00	
3.800000e+00	3.187251e-01	7.393617e-02	9.306690e-03	1.649052e-01	9.983964e-01	1.218516e+00	
3.810000e+00	3.227092e-01	7.500294e-02	9.306690e-03	1.652571e-01	9.983964e-01	1.218516e+00	
3.820000e+00	3.266932e-01	7.607746e-02	9.306690e-03	1.656115e-01	9.983964e-01	1.218516e+00	
3.830000e+00	3.306773e-01	7.715977e-02	9.306690e-03	1.659685e-01	9.983964e-01	1.218516e+00	
3.840000e+00	3.346614e-01	7.824990e-02	9.306690e-03	1.663281e-01	9.983964e-01	1.218516e+00	
3.850000e+00	3.386454e-01	7.934792e-02	9.306690e-03	1.666903e-01	9.983964e-01	1.218516e+00	
3.860000e+00	3.426295e-01	8.045385e-02	9.306690e-03	1.670551e-01	9.983964e-01	1.218516e+00	
3.870000e+00	3.466135e-01	8.156774e-02	9.306690e-03	1.674226e-01	9.983964e-01	1.218516e+00	
3.880000e+00	3.505976e-01	8.268964e-02	9.306690e-03	1.677927e-01	9.983964e-01	1.218516e+00	
3.890000e+00	3.545817e-01	8.381959e-02	9.306690e-03	1.681654e-01	9.983964e-01	1.218516e+00	
3.900000e+00	3.585657e-01	8.495763e-02	9.306690e-03	1.685408e-01	9.983964e-01	1.218516e+00	
3.910000e+00	3.625498e-01	8.610380e-02	9.306690e-03	1.689189e-01	9.983964e-01	1.218516e+00	
3.920000e+00	3.665339e-01	8.725816e-02	9.306690e-03	1.692997e-01	9.983964e-01	1.218516e+00	
3.930000e+00	3.705179e-01	8.842074e-02	9.306690e-03	1.696832e-01	9.983964e-01	1.218516e+00	
3.940000e+00	3.745020e-01	8.959159e-02	9.306690e-03	1.700694e-01	9.983964e-01	1.218516e+00	
3.950000e+00	3.784861e-01	9.077076e-02	9.306690e-03	1.704584e-01	9.983964e-01	1.218516e+00	
