amna	amna	kod	nod	vud	mdflw	rbf	
1.020000e-01	5.097451e-02	1.648507e-01	7.093841e-02	8.776211e-01	9.983964e-01	1.218516e+00	
1.030000e-01	5.147426e-02	1.648493e-01	7.087411e-02	8.769059e-01	9.983964e-01	1.218516e+00	
1.040000e-01	5.197401e-02	1.648480e-01	7.080981e-02	8.761907e-01	9.983964e-01	1.218516e+00	
1.050000e-01	5.247376e-02	1.648466e-01	7.074551e-02	8.754756e-01	9.983964e-01	1.218516e+00	
1.060000e-01	5.297351e-02	1.648453e-01	7.068121e-02	8.747604e-01	9.983964e-01	1.218516e+00	
1.070000e-01	5.347326e-02	1.648439e-01	7.061691e-02	8.740452e-01	9.983964e-01	1.218516e+00	
1.080000e-01	5.397301e-02	1.648426e-01	7.055260e-02	8.733300e-01	9.983964e-01	1.218516e+00	
1.090000e-01	5.447276e-02	1.648412e-01	7.048830e-02	8.726148e-01	9.983964e-01	1.218516e+00	
1.100000e-01	5.497251e-02	1.648398e-01	7.042400e-02	8.718996e-01	9.983964e-01	1.218516e+00	
1.110000e-01	5.547226e-02	1.648385e-01	7.035970e-02	8.711844e-01	9.983964e-01	1.218516e+00	
1.120000e-01	5.597201e-02	1.648371e-01	7.029540e-02	8.704691e-01	9.983964e-01	1.218516e+00	
1.130000e-01	5.647176e-02	1.648357e-01	7.023110e-02	8.697539e-01	9.983964e-01	1.218516e+00	
1.140000e-01	5.697151e-02	1.648344e-01	7.016680e-02	8.690387e-01	9.983964e-01	1.218516e+00	
1.150000e-01	5.747126e-02	1.648330e-01	7.010250e-02	8.683235e-01	9.983964e-01	1.218516e+00	
1.160000e-01	5.797101e-02	1.648316e-01	7.003820e-02	8.676083e-01	9.983964e-01	1.218516e+00	
1.170000e-01	5.847076e-02	1.648302e-01	6.997390e-02	8.668931e-01	9.983964e-01	1.218516e+00	
1.180000e-01	5.897051e-02	1.648289e-01	6.990960e-02	8.661779e-01	9.983964e-01	1.218516e+00	
1.190000e-01	5.947026e-02	1.648275e-01	6.984530e-02	8.654627e-01	9.983964e-01	1.218516e+00	
1.200000e-01	5.997001e-02	1.648261e-01	6.978100e-02	8.647475e-01	9.983964e-01	1.218516e+00	
1.210000e-01	6.046977e-02	1.648247e-01	6.971670e-02	8.640323e-01	9.983964e-01	1.218516e+00	
1.220000e-01	6.096952e-02	1.648233e-01	6.965240e-02	8.633170e-01	9.983964e-01	1.218516e+00	
1.230000e-01	6.146927e-02	1.648219e-01	6.958810e-02	8.626018e-01	9.983964e-01	1.218516e+00	
1.240000e-01	6.196902e-02	1.648206e-01	6.952380e-02	8.618866e-01	9.983964e-01	1.218516e+00	
1.250000e-01	6.246877e-02	1.648192e-01	6.945950e-02	8.611714e-01	9.983964e-01	1.218516e+00	
1.260000e-01	6.296852e-02	1.648178e-01	6.939520e-02	8.604562e-01	9.983964e-01	1.218516e+00	
1.270000e-01	6.346827e-02	1.648164e-01	6.933090e-02	8.597409e-01	9.983964e-01	1.218516e+00	
1.280000e-01	6.396802e-02	1.648150e-01	6.926660e-02	8.590257e-01	9.983964e-01	1.218516e+00	
