vb	vb	kod	nod	vud	mdflw	rbf	
5.500000e+00	4.966887e-01	1.164923e-02	1.000000e-09	8.295868e-02	1.077076e-01	1.218516e+00	
5.520000e+00	5.033113e-01	7.599256e-03	1.000000e-09	8.162272e-02	8.138655e-02	1.218516e+00	
5.540000e+00	5.099338e-01	3.060284e-03	1.000000e-09	8.012545e-02	5.501039e-02	1.218516e+00	
5.560000e+00	5.165563e-01	0.000000e+00	1.000000e-09	7.911596e-02	2.857895e-02	1.218516e+00	
5.580000e+00	5.231788e-01	0.000000e+00	1.000000e-09	7.911596e-02	2.092075e-03	1.218516e+00	
5.600000e+00	5.298013e-01	0.000000e+00	1.000000e-09	7.911596e-02	0.000000e+00	1.218516e+00	
5.620000e+00	5.364238e-01	0.000000e+00	1.000000e-09	7.911596e-02	0.000000e+00	1.218516e+00	
5.640000e+00	5.430464e-01	0.000000e+00	1.000000e-09	7.911596e-02	0.000000e+00	1.218516e+00	
5.660000e+00	5.496689e-01	0.000000e+00	1.000000e-09	7.911596e-02	0.000000e+00	1.218516e+00	
5.680000e+00	5.562914e-01	0.000000e+00	1.000000e-09	7.911596e-02	0.000000e+00	1.218516e+00	
5.700000e+00	5.629139e-01	0.000000e+00	1.000000e-09	7.911596e-02	0.000000e+00	1.218516e+00	
5.720000e+00	5.695364e-01	0.000000e+00	1.000000e-09	7.911596e-02	0.000000e+00	1.218516e+00	
5.740000e+00	5.761589e-01	0.000000e+00	1.000000e-09	7.911596e-02	0.000000e+00	1.218516e+00	
5.760000e+00	5.827815e-01	0.000000e+00	1.000000e-09	7.911596e-02	0.000000e+00	1.218516e+00	
5.780000e+00	5.894040e-01	0.000000e+00	1.000000e-09	7.911596e-02	0.000000e+00	1.218516e+00	
5.800000e+00	5.960265e-01	0.000000e+00	1.000000e-09	7.911596e-02	0.000000e+00	1.218516e+00	
5.820000e+00	6.026490e-01	0.000000e+00	1.000000e-09	7.911596e-02	0.000000e+00	1.218516e+00	
5.840000e+00	6.092715e-01	0.000000e+00	1.000000e-09	7.911596e-02	0.000000e+00	1.218516e+00	
5.860000e+00	6.158940e-01	0.000000e+00	1.000000e-09	7.911596e-02	0.000000e+00	1.218516e+00	
5.880000e+00	6.225166e-01	0.000000e+00	1.000000e-09	7.911596e-02	0.000000e+00	1.218516e+00	
5.900000e+00	6.291391e-01	0.000000e+00	1.000000e-09	7.911596e-02	0.000000e+00	1.218516e+00	
5.920000e+00	6.357616e-01	0.000000e+00	1.000000e-09	7.911596e-02	0.000000e+00	1.218516e+00	
5.940000e+00	6.423841e-01	0.000000e+00	1.000000e-09	7.911596e-02	0.000000e+00	1.218516e+00	
5.960000e+00	6.490066e-01	0.000000e+00	1.000000e-09	7.911596e-02	0.000000e+00	1.218516e+00	
5.980000e+00	6.556291e-01	0.000000e+00	1.000000e-09	7.911596e-02	0.000000e+00	1.218516e+00	
6.000000e+00	6.622517e-01	0.000000e+00	1.000000e-09	7.911596e-02	0.000000e+00	1.218516e+00	
6.020000e+00	6.688742e-01	0.000000e+00	1.000000e-09	7.911596e-02	0.000000e+00	1.218516e+00	
6.040000e+00	6.754967e-01	0.000000e+00	1.000000e-09	7.911596e-02	0.000000e+00	1.218516e+00	
6.060000e+00	6.821192e-01	0.000000e+00	1.000000e-09	7.911596e-02	0.000000e+00	1.218516e+00	
6.080000e+00	6.887417e-01	0.000000e+00	1.000000e-09	7.911596e-02	0.000000e+00	1.218516e+00	
6.100000e+00	6.953642e-01	0.000000e+00	1.000000e-09	7.911596e-02	0.000000e+00	1.218516e+00	
6.120000e+00	7.019868e-01	0.000000e+00	1.000000e-09	7.911596e-02	0.000000e+00	1.218516e+00	
6.140000e+00	7.086093e-01	0.000000e+00	1.000000e-09	7.911596e-02	0.000000e+00	1.218516e+00	
6.160000e+00	7.152318e-01	0.000000e+00	1.000000e-09	7.911596e-02	0.000000e+00	1.218516e+00	
6.180000e+00	7.218543e-01	0.000000e+00	1.000000e-09	7.911596e-02	0.000000e+00	1.218516e+00	
6.200000e+00	7.284768e-01	0.000000e+00	1.000000e-09	7.911596e-02	0.000000e+00	1.218516e+00	
6.220000e+00	7.350993e-01	0.000000e+00	1.000000e-09	7.911596e-02	0.000000e+00	1.218516e+00	
6.240000e+00	7.417219e-01	0.000000e+00	1.000000e-09	7.911596e-02	0.000000e+00	1.218516e+00	
6.260000e+00	7.483444e-01	0.000000e+00	1.000000e-09	7.911596e-02	0.000000e+00	1.218516e+00	
6.280000e+00	7.549669e-01	0.000000e+00	1.000000e-09	7.911596e-02	0.000000e+00	1.218516e+00	
6.300000e+00	7.615894e-01	0.000000e+00	1.000000e-09	7.911596e-02	0.000000e+00	1.218516e+00	
6.320000e+00	7.682119e-01	0.000000e+00	1.000000e-09	7.911596e-02	0.000000e+00	1.218516e+00	
6.340000e+00	7.748344e-01	0.000000e+00	1.000000e-09	7.911596e-02	0.000000e+00	1.218516e+00	
6.360000e+00	7.814570e-01	0.000000e+00	1.000000e-09	7.911596e-02	0.000000e+00	1.218516e+00	
6.380000e+00	7.880795e-01	0.000000e+00	1.000000e-09	7.911596e-02	0.000000e+00	1.218516e+00	
6.400000e+00	7.947020e-01	0.000000e+00	1.000000e-09	7.911596e-02	0.000000e+00	1.218516e+00	
6.420000e+00	8.013245e-01	0.000000e+00	1.000000e-09	7.911596e-02	0.000000e+00	1.218516e+00	
6.440000e+00	8.079470e-01	0.000000e+00	1.000000e-09	7.911596e-02	0.000000e+00	1.218516e+00	
6.460000e+00	8.145695e-01	0.000000e+00	1.000000e-09	7.911596e-02	0.000000e+00	1.218516e+00	
6.480000e+00	8.211921e-01	0.000000e+00	1.000000e-09	7.911596e-02	0.000000e+00	1.218516e+00	
6.500000e+00	8.278146e-01	0.000000e+00	1.000000e-09	7.911596e-02	0.000000e+00	1.218516e+00	
6.520000e+00	8.344371e-01	0.000000e+00	1.000000e-09	7.911596e-02	0.000000e+00	1.218516e+00	
6.540000e+00	8.410596e-01	0.000000e+00	1.000000e-09	7.911596e-02	0.000000e+00	1.218516e+00	
6.560000e+00	8.476821e-01	0.000000e+00	1.000000e-09	7.911596e-02	0.000000e+00	1.218516e+00	
6.580000e+00	8.543046e-01	0.000000e+00	1.000000e-09	7.911596e-02	0.000000e+00	1.218516e+00	
6.600000e+00	8.609272e-01	0.000000e+00	1.000000e-09	7.911596e-02	0.000000e+00	1.218516e+00	
6.620000e+00	8.675497e-01	0.000000e+00	1.000000e-09	7.911596e-02	0.000000e+00	1.218516e+00	
6.640000e+00	8.741722e-01	0.000000e+00	1.000000e-09	7.911596e-02	0.000000e+00	1.218516e+00	
6.660000e+00	8.807947e-01	0.000000e+00	1.000000e-09	7.911596e-02	0.000000e+00	1.218516e+00	
6.680000e+00	8.874172e-01	0.000000e+00	1.000000e-09	7.911596e-02	0.000000e+00	1.218516e+00	
6.700000e+00	8.940397e-01	0.000000e+00	1.000000e-09	7.911596e-02	0.000000e+00	1.218516e+00	
6.720000e+00	9.006623e-01	0.000000e+00	1.000000e-09	7.911596e-02	0.000000e+00	1.218516e+00	
6.740000e+00	9.072848e-01	0.000000e+00	1.000000e-09	7.911596e-02	0.000000e+00	1.218516e+00	
6.760000e+00	9.139073e-01	0.000000e+00	1.000000e-09	7.911596e-02	0.000000e+00	1.218516e+00	
6.780000e+00	9.205298e-01	0.000000e+00	1.000000e-09	7.911596e-02	0.000000e+00	1.218516e+00	
6.800000e+00	9.271523e-01	0.000000e+00	1.000000e-09	7.911596e-02	0.000000e+00	1.218516e+00	
6.820000e+00	9.337748e-01	0.000000e+00	1.000000e-09	7.911596e-02	0.000000e+00	1.218516e+00	
6.840000e+00	9.403974e-01	0.000000e+00	1.000000e-09	7.911596e-02	0.000000e+00	1.218516e+00	
6.860000e+00	9.470199e-01	0.000000e+00	1.000000e-09	7.911596e-02	0.000000e+00	1.218516e+00	
6.880000e+00	9.536424e-01	0.000000e+00	1.000000e-09	7.911596e-02	0.000000e+00	1.218516e+00	
6.900000e+00	9.602649e-01	0.000000e+00	1.000000e-09	7.911596e-02	0.000000e+00	1.218516e+00	
6.920000e+00	9.668874e-01	0.000000e+00	1.000000e-09	7.911596e-02	0.000000e+00	1.218516e+00	
6.940000e+00	9.735099e-01	0.000000e+00	1.000000e-09	7.911596e-02	0.000000e+00	1.218516e+00	
6.960000e+00	9.801325e-01	0.000000e+00	1.000000e-09	7.911596e-02	0.000000e+00	1.218516e+00	
6.980000e+00	9.867550e-01	0.000000e+00	1.000000e-09	7.911596e-02	0.000000e+00	1.218516e+00	
7.000000e+00	9.933775e-01	0.000000e+00	1.000000e-09	7.911596e-02	0.000000e+00	1.218516e+00	
7.020000e+00	1.000000e+00	0.000000e+00	1.000000e-09	7.911596e-02	0.000000e+00	1.218516e+00	
